Experiment,Location,Structure,Position,Species,Origin,Treatment,Remarks,Date_0,AVG_0,R_0,G_0,B_0,ControlAVG_0,ControlR_0,ControlG_0,ControlB_0,Survival_0,Cause_0,Comments_0,Date_1,AVG_1,R_1,G_1,B_1,ControlAVG_1,ControlR_1,ControlG_1,ControlB_1,Survival_1,Cause_1,Comments_1,Date_2,AVG_2,R_2,G_2,B_2,ControlAVG_2,ControlR_2,ControlG_2,ControlB_2,Survival_2,Cause_2,Comments_2,Date_3,AVG_3,R_3,G_3,B_3,ControlAVG_3,ControlR_3,ControlG_3,ControlB_3,Survival_3,Cause_3,Comments_3,Date_4,AVG_4,R_4,G_4,B_4,ControlAVG_4,ControlR_4,ControlG_4,ControlB_4,Survival_4,Cause_4,Comments_4,Date_5,AVG_5,R_5,G_5,B_5,ControlAVG_5,ControlR_5,ControlG_5,ControlB_5,Survival_5,Cause_5,Comments_5,Date_6,AVG_6,R_6,G_6,B_6,ControlAVG_6,ControlR_6,ControlG_6,ControlB_6,Survival_6,Cause_6,Comments_6,Date_7,AVG_7,R_7,G_7,B_7,ControlAVG_7,ControlR_7,ControlG_7,ControlB_7,Survival_7,Cause_7,Comments_7,Date_8,AVG_8,R_8,G_8,B_8,ControlAVG_8,ControlR_8,ControlG_8,ControlB_8,Survival_8,Cause_8,Comments_8,Date_9,AVG_9,R_9,G_9,B_9,ControlAVG_9,ControlR_9,ControlG_9,ControlB_9,Survival_9,Cause_9,Comments_9,Date_10,AVG_10,R_10,G_10,B_10,ControlAVG_10,ControlR_10,ControlG_10,ControlB_10,Survival_10,Cause_10,Comments_10,Date_11,AVG_11,R_11,G_11,B_11,ControlAVG_11,ControlR_11,ControlG_11,ControlB_11,Survival_11,Cause_11,Comments_11,Date_12,AVG_12,R_12,G_12,B_12,ControlAVG_12,ControlR_12,ControlG_12,ControlB_12,Survival_12,Cause_12,Comments_12,Date_13,AVG_13,R_13,G_13,B_13,ControlAVG_13,ControlR_13,ControlG_13,ControlB_13,Survival_13,Cause_13,Comments_13,Date_14,AVG_14,R_14,G_14,B_14,ControlAVG_14,ControlR_14,ControlG_14,ControlB_14,Survival_14,Cause_14,Comments_14,Date_15,AVG_15,R_15,G_15,B_15,ControlAVG_15,ControlR_15,ControlG_15,ControlB_15,Survival_15,Cause_15,Comments_15,Date_16,AVG_16,R_16,G_16,B_16,ControlAVG_16,ControlR_16,ControlG_16,ControlB_16,Survival_16,Cause_16,Comments_16
Mineral accretion bleaching,Firefly intertidal,5,10,Acropora verweyi,,MAP,,10-Mar-2021,86.728,89.211,103.892,67.115,157.048,124.78,179.723,166.572,100,,,16-Mar-2021,31.703,36.804,31.602,26.686,127.691,97.221,124.312,161.506,100,,,24-Mar-2021,57.144,60.6,66.109,44.73,162.721,128.701,174.029,185.26,100,,,31-Mar-2021,37.485,43.562,41.721,27.19,115.816,97.102,119.25,131.082,100,,,07-Apr-2021,74.628,70.03,85.611,68.232,164.164,135.648,176.114,180.683,100,,,14-Apr-2021,108.67,110.406,117.248,98.366,163.971,152.714,170.63,168.743,100,,,21-Apr-2021,89.335,82.459,93.603,91.963,149.448,129.902,149.637,169.007,90,,,05-May-2021,87.806,80.255,89.718,93.46,175.536,175.536,146.615,175.536,100,,,27-May-2021,67.493,78.398,64.856,59.181,154.496,154.496,141.315,154.496,100,,,24-Jun-2021,44.554,68.785,38.377,26.55,175.817,172.65,170.681,184.238,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,11,Pocillopora verrucosa,,MAP,,10-Mar-2021,122.702,122.91,145.107,100.132,200.435,174.644,219.164,207.648,90,,,16-Mar-2021,73.454,76.839,77.48,66.049,155.897,125.111,152.421,190.136,90,,,24-Mar-2021,125.397,108.391,138.392,129.385,156.735,122.86,168.227,178.977,80,,,31-Mar-2021,117.144,108.008,122.464,120.969,182.889,164.561,186.01,198.271,90,,pink,07-Apr-2021,113.536,97.217,125.754,117.5,160.244,131.776,172.403,176.441,80,,,14-Apr-2021,166.944,162.281,175.138,163.401,195.077,183.051,202.068,200.145,80,,,21-Apr-2021,108.405,98.228,110.772,116.207,161.174,144.317,160.085,179.26,70,,,05-May-2021,153.491,144.963,153.507,161.936,173.903,151.177,171.252,199.2,50,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,12,Millepora tenera,,MAP,,10-Mar-2021,93.096,101.224,115.137,62.956,180.768,152.668,201.359,188.292,70,,,16-Mar-2021,48.225,69.636,52.912,22.118,173.08,143.472,170.01,205.7,60,,,24-Mar-2021,103.423,113.219,120.012,76.998,163.659,130.953,173.934,185.815,50,,,31-Mar-2021,82.733,84.269,92.4,71.588,168.546,150.886,171.33,183.506,50,,,07-Apr-2021,106.426,94.858,122.32,102.149,163.928,136.163,175.718,179.83,40,,,14-Apr-2021,125.561,119.993,138.142,118.574,167.096,153.513,174.707,173.032,10,,,21-Apr-2021,127.723,124.17,130.241,128.674,174.232,161.618,174.089,186.606,10,,,05-May-2021,88.813,87.517,90.071,88.965,171.687,148.65,169.748,196.511,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,13,Pocillopora verrucosa,,MAP,,10-Mar-2021,69.479,68.814,86.685,52.927,167.245,167.245,178.383,167.245,75,,,16-Mar-2021,72.872,73.356,77.909,67.355,164.687,132.685,161.112,200.015,85,,,24-Mar-2021,106.835,91.157,121.86,107.472,137.431,104.069,148.555,159.563,70,,,31-Mar-2021,118.335,108.213,127.752,118.99,173.536,154.935,176.498,189.281,75,,,07-Apr-2021,127.53,109.343,142.409,130.869,163.608,135.321,175.645,179.813,70,,,14-Apr-2021,107.643,101.401,117.948,103.655,137.969,123.973,145.458,144.341,80,,,21-Apr-2021,109.21,99.57,113.889,114.182,150.217,131.626,150.228,168.99,70,,,05-May-2021,120.703,111.519,121.931,128.632,168.046,146.213,164.928,192.949,70,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,14,Porites cylindrica,,MAP,,10-Mar-2021,137.285,126.656,159.272,126.064,197.783,171.611,214.947,206.651,100,,,16-Mar-2021,71.359,63.14,74.537,76.444,166.21,139.239,162.406,196.916,95,,,24-Mar-2021,86.634,86.634,98.679,86.634,147.116,113.85,158.831,168.601,90,,,31-Mar-2021,114.406,104.669,124.71,113.85,183.429,166.69,186.625,197.077,90,,,07-Apr-2021,61.087,57.259,74.312,51.705,147.242,118.855,159.423,163.352,50,,Deadish,14-Apr-2021,104.533,98.448,117.605,97.524,147.515,133.17,155.184,154.049,80,,,21-Apr-2021,99.933,91.083,106.591,102.177,151.52,131.246,152.071,171.434,60,,,05-May-2021,125.337,115.829,129.518,130.689,194.499,194.499,167.286,194.499,80,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,15,Acropora verweyi,,MAP,,10-Mar-2021,143.087,148.605,159.179,121.462,220.376,220.376,229.012,220.376,95,,,16-Mar-2021,48.274,50.724,48.064,46.036,180.174,151.071,176.667,212.705,95,,,24-Mar-2021,90.235,92.748,99.799,78.167,182.868,151.54,193.252,203.689,100,,WHITE SPOT NOT MEASURED,31-Mar-2021,53.309,57.581,58.33,44.028,162.04,141.597,165.318,179.32,100,,,07-Apr-2021,66.366,58.888,77.331,62.859,170.674,170.674,164.824,170.674,100,,,14-Apr-2021,72.871,71.173,83.612,63.835,146.419,131.907,154.243,152.994,100,,,21-Apr-2021,81.953,77.67,89.76,78.436,163.187,144.008,162.708,183.084,100,,,05-May-2021,100.66,96.897,108.262,96.814,179.908,157.629,177.077,204.933,95,,Green,27-May-2021,125.601,137.557,124.52,114.736,206.365,205.434,203.025,211.119,65,,Green,24-Jun-2021,44.171,64.134,39.937,28.455,173.137,169.499,168.323,181.603,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,5,16,Millepora tenera,,MAP,,10-Mar-2021,110.993,140.612,133.827,58.525,209.07,185.969,224.934,216.369,90,,,16-Mar-2021,39.002,61.233,41.243,14.541,175.831,145.147,172.159,210.133,90,,,24-Mar-2021,100.486,115.125,116.905,69.385,176.005,142.938,186.023,198.712,80,,,31-Mar-2021,92.886,90.864,103.201,84.599,156.693,134.992,159.265,175.88,90,,,07-Apr-2021,104.314,92.313,120.407,100.23,143.448,112.514,155.707,162.182,80,,,14-Apr-2021,124.381,122.825,137.251,113.064,156.324,140.66,164.262,163.879,70,,,21-Apr-2021,98.084,94.682,103.211,96.412,179.048,179.048,164.973,179.048,70,,,05-May-2021,113.362,108.99,116.952,114.239,176.776,153.567,174.475,202.159,70,,,27-May-2021,79.982,117.748,77.5,44.691,176.246,174.609,172.609,181.923,70,,,24-Jun-2021,34.387,57.422,29.302,16.414,198.796,195.666,194.833,206.215,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,1,Pocillopora verrucosa,,MAP,,10-Mar-2021,144.104,146.632,159.518,126.165,228.68,228.68,236.391,228.68,90,,,16-Mar-2021,67.715,82.031,67.887,53.238,155.35,145.869,150.112,170.161,90,,,24-Mar-2021,130.616,117.085,141.624,133.031,161.99,131.849,171.556,182.394,80,,,31-Mar-2021,111.077,112.182,112.673,108.362,162.283,153.062,162.982,170.844,80,,,07-Apr-2021,140.998,127.249,151.411,144.219,188.392,188.392,183.665,188.392,80,,,14-Apr-2021,120.111,116.383,126.443,117.474,168.352,158.99,172.393,173.672,80,,,21-Apr-2021,117.623,117.094,119.105,116.813,161.386,154.077,160.224,169.906,85,,,05-May-2021,116.21,111.428,115.471,121.72,177.011,158.691,172.814,199.572,50,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,2,Millepora tenera,,MAP,,10-Mar-2021,106.489,108.984,125.952,84.554,190.405,166.576,207.398,196.863,50,,,16-Mar-2021,76.24,112.379,77.34,39.036,215.748,209.681,210.416,227.061,30,,,24-Mar-2021,91.855,97.597,106.834,71.146,171.607,143.474,180.623,190.605,30,,,31-Mar-2021,64.577,76.769,71.15,45.809,181.368,174.479,182.245,187.297,20,,,07-Apr-2021,54.752,67.013,70.04,27.194,194.843,194.843,189.953,194.843,20,,,14-Apr-2021,75.631,77.712,84.951,64.211,181.314,181.314,179.262,181.314,10,,,21-Apr-2021,78.75,79.716,84.413,71.932,165.739,157.643,164.57,175.053,10,,,05-May-2021,91.234,103.669,93.777,76.245,199.8,199.8,173.05,199.8,10,,,27-May-2021,83.328,109.923,76.804,63.367,174.744,175.311,168.13,180.858,20,,Dead?,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,3,Acropora verweyi,,MAP,,10-Mar-2021,103.299,104.141,118.447,87.287,195.122,173.035,211.643,200.383,90,,,16-Mar-2021,56.315,79.78,51.2,37.99,188.672,182.217,182.825,201.006,90,,,24-Mar-2021,82.711,88.935,90.3,68.894,174.525,142.492,182.517,198.478,90,,,31-Mar-2021,79.686,99.687,79.899,59.481,189.199,182.378,190.05,195.221,90,,,07-Apr-2021,105.554,99.771,116.279,100.566,194.55,194.55,187.212,194.55,90,,,14-Apr-2021,99.855,99.098,107.336,93.119,174.235,174.235,173.798,174.235,90,,,21-Apr-2021,74.09,71.879,77.513,72.942,128.839,119.37,128.353,138.602,90,,,05-May-2021,118.99,111.038,120.928,125.017,165.742,145.789,161.569,189.88,90,,,27-May-2021,115.158,129.293,109.773,106.403,187.256,187.256,174.755,187.256,90,,,24-Jun-2021,47.96,77.751,40.562,25.618,178.714,178.696,172.306,185.129,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,4,Millepora tenera,,MAP,,10-Mar-2021,123.509,132.012,143.842,94.775,187.723,163.542,204.117,194.838,80,,,16-Mar-2021,69.051,103.185,68.781,35.161,199.603,199.603,181.842,199.603,60,,,24-Mar-2021,149.149,149.149,177.78,149.149,202.536,177.403,210.368,219.782,50,,,31-Mar-2021,92.132,92.132,104.977,92.132,157.416,148.301,158.404,165.613,40,,,07-Apr-2021,123.903,112.212,136.566,122.87,189.351,189.351,184.275,189.351,20,,,14-Apr-2021,126.052,124.119,134.682,119.388,173.225,165.622,176.819,177.347,40,,,21-Apr-2021,94.353,94.738,98.615,89.757,142.273,132.536,142.237,151.992,30,,,05-May-2021,118.297,113.561,119.735,121.565,167.624,148.354,163.667,190.824,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,5,Porites cylindrica,,MAP,,10-Mar-2021,133.857,122.98,154.806,123.816,204.434,182.905,219.158,211.264,70,,,16-Mar-2021,95.687,102.341,102.671,82.094,166.149,152.774,161.026,184.586,70,,,24-Mar-2021,137.84,123.814,143.682,145.976,170.905,142.854,179.762,189.928,60,,,31-Mar-2021,161.183,173.266,172.873,137.481,184.227,179.109,184.506,189.074,70,,,07-Apr-2021,129.799,121.905,149.71,117.798,162.272,137.07,172.949,176.803,60,,,14-Apr-2021,106.975,106.975,143.074,106.975,172.455,163.962,176.857,176.67,60,,,21-Apr-2021,124.709,130.685,133.412,110.172,169.413,169.413,159.862,169.413,50,,,05-May-2021,126.695,126.741,134.801,118.508,168.714,149.524,164.337,192.265,60,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,6,Pocillopora verrucosa,,MAP,,10-Mar-2021,127.959,122.466,143.099,118.346,202.208,179.976,216.22,210.489,70,,,16-Mar-2021,89.485,105.289,86.125,77.089,196.144,196.144,178.892,196.144,30,,,24-Mar-2021,133.819,120.347,139.431,141.657,190.543,190.543,179.812,190.543,20,,,31-Mar-2021,101.415,102.205,101.027,100.963,178.169,170.184,179,185.406,20,,,07-Apr-2021,125.274,112.459,132.68,130.642,207.973,207.973,203.807,207.973,20,,,14-Apr-2021,99.959,97.972,105.063,96.909,180.349,180.349,180.194,180.349,20,,,21-Apr-2021,98.828,96.527,99.704,100.447,178.477,171.563,177.566,186.398,30,,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,7,Porites cylindrica,,MAP,,10-Mar-2021,85.66,85.66,114.958,85.66,170.957,145.48,189.453,178.044,100,,,16-Mar-2021,36.204,43.079,37.3,28.243,106.592,96.108,99.543,123.926,100,,,24-Mar-2021,110.313,100.694,125.58,104.688,162.211,134.832,171.752,180.185,100,,,31-Mar-2021,111.3,118.019,120.817,95.146,166.748,158.156,167.753,174.374,100,,,07-Apr-2021,91.521,91.521,117.82,91.521,182.308,182.308,179.246,182.308,20,,,14-Apr-2021,86.312,88.136,98.17,72.606,145.966,139.011,149.605,149.256,95,,,21-Apr-2021,88.373,92.802,94.73,77.572,144.112,137.623,142.215,152.636,100,,,05-May-2021,95.2,93.399,101.7,90.509,149.573,128.65,145.512,174.599,90,,,27-May-2021,79.338,90.496,80.272,67.342,133.521,133.474,126.915,140.212,80,,,24-Jun-2021,,,,,,,,,0,Dead,Deadish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,8,Pocillopora verrucosa,,MAP,,10-Mar-2021,99.764,98.152,117.612,83.501,174.898,148.998,193.376,182.5,80,,,16-Mar-2021,69.192,84.931,67.332,55.324,158.008,149.984,151.707,172.467,80,,,24-Mar-2021,107.095,92.715,115.427,113.072,146.17,115.3,156.182,166.884,70,,,31-Mar-2021,88.551,89.856,89.151,86.615,151.979,141.937,153.591,160.442,70,,pink,07-Apr-2021,128.132,115.442,137.214,131.636,189.662,189.662,185.057,189.662,80,,,14-Apr-2021,100.772,97.328,108.362,96.53,184.384,179.717,186.944,186.673,60,,,21-Apr-2021,93.678,90.746,96.604,93.819,157.004,148.445,156.529,166.004,60,,,05-May-2021,115.382,110.787,117.215,118.2,202.798,202.798,175.875,202.798,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,9,Pocillopora verrucosa,,MAP,,10-Mar-2021,137.534,135.426,154.17,122.937,201.987,201.987,211.872,201.987,50,,,16-Mar-2021,111.455,128.9,107.464,98.026,187.963,179.696,182.128,202.173,50,,,24-Mar-2021,141.846,130.898,145.449,149.163,178.553,150.558,187.345,197.553,50,,,31-Mar-2021,138.112,144.45,135.526,134.274,188.989,183.64,189.698,193.605,30,,,07-Apr-2021,158.255,144.845,166.29,163.624,203.736,203.736,200.271,203.736,30,,,14-Apr-2021,157.569,157.151,162.411,153.173,171.725,162.855,176.043,176.302,30,,,21-Apr-2021,87.239,87.484,87.382,86.836,155.58,155.58,146.626,155.58,10,,,05-May-2021,,,,,,,,,0,Dead,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,10,Acropora verweyi,,MAP,,10-Mar-2021,115.099,115.099,137.918,115.099,196.924,173.423,213.086,203.732,100,,,16-Mar-2021,22.762,30.3,20.72,17.113,128.626,116.353,122.888,146.584,100,,,24-Mar-2021,74.868,78.938,81.77,63.892,188.04,159.903,196.959,207.084,100,,,31-Mar-2021,45.202,55.788,45.459,34.384,175.395,166.268,176.677,183.315,100,,,07-Apr-2021,74.779,70.707,83.4,70.186,190.654,190.654,185.918,190.654,100,,,14-Apr-2021,105.898,111.279,110.479,95.919,195.627,195.627,196.176,195.627,100,,,21-Apr-2021,84.835,85.967,86.402,82.181,141.5,133.369,140.255,150.85,100,,,05-May-2021,102.734,96.311,103.243,108.632,160.416,140.453,155.925,184.931,100,,,27-May-2021,100.36,118.444,94.257,88.383,183.925,183.512,178.119,190.154,100,,,24-Jun-2021,55.518,82.421,47.049,37.147,196.778,198.56,190.732,201.383,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,11,Porites cylindrica,,MAP,,10-Mar-2021,97.799,83.584,118.134,91.767,171.182,143.734,190.643,179.236,50,,,16-Mar-2021,62.355,73.408,64.372,49.357,147.462,139.357,141.489,161.673,40,,,24-Mar-2021,72.634,70.256,85.303,62.32,130.299,99.761,139.813,151.133,10,,DCSN4471; Dead?,31-Mar-2021,95.001,101.827,104.648,78.582,129.46,120.558,130.22,137.604,40,,,07-Apr-2021,131.297,123.242,150.706,119.958,161.551,136.263,172.069,176.281,50,,,14-Apr-2021,61.505,61.505,82.127,61.505,138.905,138.905,137.969,138.905,50,,,21-Apr-2021,87.865,92.698,93.88,77.045,126.781,116.299,126.905,137.043,40,,,05-May-2021,109.081,111.894,112.546,102.574,199.934,199.934,172.769,199.934,10,,,27-May-2021,,,,,,,,,0,Dead,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,12,Acropora verweyi,,MAP,,10-Mar-2021,87.115,88.5,99.169,73.643,178.447,155.187,196.06,184.268,100,,,16-Mar-2021,36.243,50.895,32.664,25.134,163.458,152.426,157.869,180.13,95,,,24-Mar-2021,67.668,71.864,74.965,56.177,206.822,206.822,194.318,206.822,100,,,31-Mar-2021,67.318,85.054,67.389,49.514,182.637,173.252,184,190.679,100,,,07-Apr-2021,96.883,93.815,106.603,90.212,178.013,153.215,188.033,192.719,100,,,14-Apr-2021,77.535,78.88,83.769,69.936,161.153,161.153,160.986,161.153,90,,,21-Apr-2021,70.797,69.233,74.513,68.702,158.646,150.684,158.378,166.965,90,,,05-May-2021,107.253,98.747,109.562,113.447,160.167,140.181,155.749,184.672,100,,,27-May-2021,91.074,99.959,87.771,85.45,159.36,159.156,152.994,166.022,100,,shadow not measured in coral or slate,24-Jun-2021,60.649,89.597,52.55,39.868,184.084,186.287,177.905,188.551,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,13,Millepora tenera,,MAP,,10-Mar-2021,73.147,76.271,89.731,53.418,167.789,141.236,187.666,174.505,100,,,16-Mar-2021,71.638,113.999,71.723,29.2,193.448,185.195,188.054,207.149,90,,,24-Mar-2021,91.097,101.322,105.42,66.525,191.378,191.378,178.648,191.378,90,,,31-Mar-2021,110.726,121.473,116.954,93.794,159.975,149.996,160.603,169.216,80,,,07-Apr-2021,147.452,136.477,162.5,143.38,196.029,196.029,191.091,196.029,50,,,14-Apr-2021,89.362,91.268,97.324,79.521,148.189,140.966,151.102,152.572,60,,ALGAE?,21-Apr-2021,117.894,121.379,122.213,110.008,167.529,159.055,167.069,176.472,70,,,05-May-2021,124.503,123.071,126.964,123.47,165.855,145.593,161.606,190.432,60,,,27-May-2021,56.859,87.588,52.799,30.201,156.06,156.06,142.092,156.06,60,,shadow not measured in coral or slate,24-Jun-2021,49.91,87.902,42.636,19.251,206.707,208.939,200.791,210.961,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,14,Porites cylindrica,,MAP,,10-Mar-2021,109.535,101.58,130.479,96.587,177.335,154.274,195.49,182.474,90,,,16-Mar-2021,49.592,68.086,52.895,27.78,144.992,132.295,138.586,164.104,70,,,24-Mar-2021,121.224,109.826,137.488,116.404,164.79,135.702,173.949,184.608,90,,,31-Mar-2021,80.314,85.493,88.591,66.886,133.001,123.171,134.338,141.583,80,,,07-Apr-2021,112.234,102.185,128.155,106.446,184.408,184.408,179.368,184.408,30,,,14-Apr-2021,89.987,89.987,112.906,89.987,165.253,160.398,168.137,167.444,85,,,21-Apr-2021,76.781,77.891,82.246,70.151,129.401,120.522,129.017,138.601,80,,,05-May-2021,109.885,105.685,114.526,109.575,156.829,137.523,152.271,180.636,80,,,27-May-2021,102.495,115.111,100.806,91.554,151.759,152.587,145.067,157.604,65,,,24-Jun-2021,,,,,,,,,0,Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,15,Acropora verweyi,,MAP,,10-Mar-2021,85.513,83.897,98.599,73.925,174.507,150.083,193.742,180.04,100,,,16-Mar-2021,29.85,42.959,25.952,20.628,146.33,134.398,140.237,164.415,100,,,24-Mar-2021,48.883,53.552,54.832,38.263,190.85,190.85,178.073,190.85,100,,,31-Mar-2021,78.284,102.308,75.862,56.691,199.744,192.855,200.279,206.107,100,,,07-Apr-2021,66.145,65.753,73.925,58.739,169.106,141.275,179.974,186.169,100,,,14-Apr-2021,76.739,82.135,81.294,66.78,170.332,170.332,172.045,170.332,100,,,21-Apr-2021,95.771,99.797,97.182,90.381,184.517,184.517,176.164,184.517,100,,,05-May-2021,84.43,80.565,85.032,87.708,147.885,126.716,144.001,172.898,100,,,27-May-2021,92.938,110.841,86.702,81.288,185.066,185.127,178.879,191.229,100,,,24-Jun-2021,30.233,50.145,23.743,16.843,156.114,156.755,149.185,162.259,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral accretion bleaching,Firefly intertidal,6,16,Millepora tenera,,MAP,,10-Mar-2021,108.654,122.701,130.125,73.148,184.766,162.443,202.603,189.621,80,,,16-Mar-2021,51.77,83.069,51.123,21.109,180.583,172.991,175.418,193.284,80,,,24-Mar-2021,85.984,90.848,99.089,67.998,164.522,133.667,174.475,185.368,60,,,31-Mar-2021,87.737,95.297,92.81,75.111,161.789,155.42,162.988,167.023,70,,,07-Apr-2021,132.31,119.743,145.164,131.934,178.552,153.933,188.497,193.127,60,,,14-Apr-2021,109.461,111.62,117.957,98.91,131.206,123.979,135.207,134.431,60,,,21-Apr-2021,79.433,77.634,83.851,76.835,136.831,126.743,136.646,146.998,55,,,05-May-2021,113.766,111.531,115.846,113.962,164.316,144.851,160.11,187.983,45,,,27-May-2021,31.273,48.574,29.453,15.832,100.607,100.126,94.172,107.406,40,,,24-Jun-2021,10.946,10.946,24.576,10.946,160.17,162.18,152.75,165.658,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
